TradingDate,TradingPeriod,Benmore,Haywards,Otahuhu
1/01/2019,1,179.73,181.7,187.27
1/01/2019,2,160.22,162.04,166.72
1/01/2019,3,179.75,181.48,186.31
1/01/2019,4,162.04,163.62,168
1/01/2019,5,150.63,152.12,156.14
1/01/2019,6,145.64,147.09,150.88
1/01/2019,7,133.66,134.91,138.41
1/01/2019,8,123.79,124.89,128.13
1/01/2019,9,133.9,135.07,138.58
1/01/2019,10,134.71,135.9,139.81
1/01/2019,11,135.02,136.38,140.1
1/01/2019,12,133.16,134.5,138.15
1/01/2019,13,138.83,140.22,144.04
1/01/2019,14,107.9,109.02,113.61
1/01/2019,15,86.02,88.85,93.75
1/01/2019,16,85.64,88.46,94.14
1/01/2019,17,72.12,74.87,80.65
1/01/2019,18,75,79.45,86.71
1/01/2019,19,86.3,91.42,99.1
1/01/2019,20,134.58,142.56,154.84
1/01/2019,21,140.04,148.34,163.64
1/01/2019,22,140.04,148.34,163.76
1/01/2019,23,140.55,148.88,164.45
1/01/2019,24,140.04,148.34,163.85
1/01/2019,25,139.87,148.16,163.6
1/01/2019,26,125.46,132.9,146.16
1/01/2019,27,112.95,117.31,126.34
1/01/2019,28,111.75,116.06,126.12
1/01/2019,29,111.74,116.05,126.12
1/01/2019,30,111.75,116.06,126.12
1/01/2019,31,124.66,129.46,140.74
1/01/2019,32,118.9,123.49,134.24
1/01/2019,33,119.53,124.14,136.87
1/01/2019,34,118.99,123.58,135.56
1/01/2019,35,107.25,111.33,123.43
1/01/2019,36,125.49,130.32,143.33
1/01/2019,37,118.53,123.01,131.75
1/01/2019,38,138.52,143.93,156.74
1/01/2019,39,124.93,129.74,141.51
1/01/2019,40,114.61,118.37,130.5
1/01/2019,41,134.32,138.73,153.59
1/01/2019,42,124.4,128.49,142.01
1/01/2019,43,135.6,140.82,157.24
1/01/2019,44,115.29,119.08,129.09
1/01/2019,45,114.63,118.4,127.47
1/01/2019,46,82.07,82.85,88.1
1/01/2019,47,113.05,113.9,120.33
1/01/2019,48,81.23,81.84,85.27
2/01/2019,1,71.92,72.46,75.97
2/01/2019,2,69.03,69.54,72.91
2/01/2019,3,87.21,78.07,80.91
2/01/2019,4,87.35,86.74,89.81
2/01/2019,5,93.05,80.49,83.42
2/01/2019,6,93,80.49,83.42
2/01/2019,7,93.25,78.13,80.91
2/01/2019,8,122.22,94.37,97.63
2/01/2019,9,122.22,96.89,99.92
2/01/2019,10,122.31,92.51,95.38
2/01/2019,11,113.34,97.82,101.33
2/01/2019,12,79.81,80.41,83.34
2/01/2019,13,67.36,67.96,73.1
2/01/2019,14,67.07,67.65,72.82
2/01/2019,15,59.41,59.94,65.06
2/01/2019,16,60,60.54,65.54
2/01/2019,17,75.03,77.49,86.12
2/01/2019,18,78.34,80.91,88.2
2/01/2019,19,91,93.99,102.41
2/01/2019,20,108.75,112.32,123.67
2/01/2019,21,101.38,104.71,114.67
2/01/2019,22,92.42,95.45,104.53
2/01/2019,23,103.54,106.94,117.17
2/01/2019,24,79.01,79.83,87.37
2/01/2019,25,90,90.91,99.49
2/01/2019,26,79.25,80.07,86.81
2/01/2019,27,81.29,82.12,89.29
2/01/2019,28,88,88.89,96.26
2/01/2019,29,88,88.84,96.55
2/01/2019,30,109.15,110.22,118.86
